ADM0_NAME,ADM1_NAME,ADM2_CODE,ADM2_NAME,area_ee,losstotal,mask_hansen,lossyear,sum
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,9,15.6918817
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,10,13.1485318
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,11,7.2454426
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,12,11.8392678
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,13,6.1456102
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,14,10.7661963
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,15,6.4064751
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,16,919.3391163
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,17,147.9830953
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,18,21.3583708
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,19,13.0730675
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,20,11.2805239
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,21,8.5801314
Brazil,Amazonas,6479,Barcelos,105460.0771434,1281.2988815,95949.8282659,22,11.5291354
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,0,7200.292926
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,1,1.9253415
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,2,0.9344838
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,3,1.3113108
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,4,1.7758998
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,5,4.6924781
